date,instrument,ticker,open,close,high,low,vah,val,poc,volume,session_start_local,session_end_local
2026-06-03,NVDA,NVDA,221.68499755859375,214.8350067138672,222.82000732421875,214.52000427246094,222.82000732421875,214.52000427246094,218.08999633789062,136221363,09:30,16:00
2026-06-04,NVDA,NVDA,213.90499877929688,218.71499633789062,221.60000610351562,210.97000122070312,221.60000610351562,210.97000122070312,212.9499969482422,145078793,09:30,16:00
2026-06-05,NVDA,NVDA,214.42999267578125,205.10499572753906,214.8699951171875,204.33999633789062,214.8699951171875,204.33999633789062,213.3300018310547,180737768,09:30,16:00
2026-06-08,NVDA,NVDA,210.17999267578125,208.61000061035156,210.389892578125,206.0,210.389892578125,206.0,208.88999938964844,113038995,09:30,16:00
2026-06-09,NVDA,NVDA,210.61500549316406,208.19000244140625,211.38999938964844,199.33999633789062,211.38999938964844,199.33999633789062,210.1649932861328,156817723,09:30,16:00
2026-06-10,NVDA,NVDA,204.4250030517578,200.33999633789062,207.22000122070312,199.9199981689453,207.22000122070312,199.9199981689453,206.19000244140625,134740389,09:30,16:00
2026-06-11,NVDA,NVDA,201.39500427246094,204.6699981689453,205.66000366210938,199.5399932861328,205.66000366210938,199.5399932861328,202.32989501953125,125207982,09:30,16:00
2026-06-12,NVDA,NVDA,204.72999572753906,205.1300048828125,207.07000732421875,203.43850708007812,207.07000732421875,203.43850708007812,204.27999877929688,94569053,09:30,16:00
2026-06-15,NVDA,NVDA,208.85499572753906,212.4600067138672,212.710693359375,208.33999633789062,212.710693359375,208.33999633789062,208.92999267578125,108246882,09:30,16:00
2026-06-16,NVDA,NVDA,211.11500549316406,207.2899932861328,211.4600067138672,207.2899932861328,211.4600067138672,207.2899932861328,209.47000122070312,94174046,09:30,16:00
2026-06-17,NVDA,NVDA,208.52999877929688,204.67799377441406,209.2100067138672,203.4499969482422,209.2100067138672,203.4499969482422,208.64999389648438,99447867,09:30,16:00
2026-06-18,NVDA,NVDA,207.27499389648438,210.22999572753906,211.38999938964844,206.5,211.38999938964844,206.5,207.13999938964844,133007188,09:30,16:00
2026-06-22,NVDA,NVDA,211.44500732421875,208.55999755859375,213.99000549316406,207.72000122070312,213.99000549316406,207.72000122070312,212.34500122070312,98165920,09:30,16:00
